scenario_set,case,seed,agent,completed,ever_exact,teh_at_5,teh_at_10,ended_correct,post_hit_retention_percent,first_regression_delay_rounds,regressions,evidence_status
single_cause,atomic_hetero,56,DeepSeek low,True,False,False,False,False,,,,event_audit
single_cause,atomic_hetero,0,GLM low,True,False,False,False,False,,,,event_audit
single_cause,atomic_hetero,44,GLM low,True,False,False,False,False,,,,event_audit
single_cause,atomic_hetero,56,GLM low,True,False,False,False,False,,,,event_audit
single_cause,atomic_hetero,0,Qwen low,True,False,False,False,False,,,,event_audit
single_cause,atomic_hetero,44,Qwen low,True,False,False,False,False,,,,event_audit
single_cause,atomic_hetero,56,Qwen low,True,False,False,False,False,,,,event_audit
single_cause,atomic_hetero,0,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_hetero,44,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_hetero,56,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_label,0,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_label,44,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_label,56,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_label,0,DeepSeek low,True,True,True,True,False,,,,event_audit
single_cause,atomic_label,44,DeepSeek low,True,True,True,True,False,,,,event_audit
single_cause,atomic_label,56,DeepSeek low,True,True,False,True,False,,,,event_audit
single_cause,atomic_label,0,GLM low,True,True,True,True,False,,,,event_audit
single_cause,atomic_label,44,GLM low,True,True,True,True,False,,,,event_audit
single_cause,atomic_label,56,GLM low,True,True,True,True,False,,,,event_audit
single_cause,atomic_label,0,Qwen low,True,True,True,True,False,,,,event_audit
single_cause,atomic_label,44,Qwen low,True,True,True,True,True,,,,event_audit
single_cause,atomic_label,56,Qwen low,True,True,True,True,True,,,,event_audit
single_cause,atomic_label,0,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_label,44,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_label,56,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_real,0,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_real,44,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_real,56,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_real,0,DeepSeek low,True,True,True,True,False,,,,event_audit
single_cause,atomic_real,44,DeepSeek low,True,False,False,False,False,,,,event_audit
single_cause,atomic_real,56,DeepSeek low,True,True,True,True,False,,,,event_audit
single_cause,atomic_real,0,GLM low,True,True,True,True,False,,,,event_audit
single_cause,atomic_real,44,GLM low,True,True,True,True,False,,,,event_audit
single_cause,atomic_real,56,GLM low,True,True,True,True,False,,,,event_audit
single_cause,atomic_real,0,Qwen low,True,True,True,True,False,,,,event_audit
single_cause,atomic_real,44,Qwen low,True,True,True,True,False,,,,event_audit
single_cause,atomic_real,56,Qwen low,True,True,True,True,False,,,,event_audit
single_cause,atomic_real,0,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_real,44,Random bundle,True,True,False,False,False,,,,event_audit
single_cause,atomic_real,56,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_virtual,0,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_virtual,44,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_virtual,56,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,atomic_virtual,0,DeepSeek low,True,True,True,True,True,,,,event_audit
single_cause,atomic_virtual,44,DeepSeek low,True,True,True,True,False,,,,event_audit
single_cause,atomic_virtual,56,DeepSeek low,True,True,True,True,True,,,,event_audit
single_cause,atomic_virtual,0,GLM low,True,True,True,True,True,,,,event_audit
single_cause,atomic_virtual,44,GLM low,True,True,True,True,False,,,,event_audit
single_cause,atomic_virtual,56,GLM low,True,True,True,True,False,,,,event_audit
single_cause,atomic_virtual,0,Qwen low,True,True,True,True,False,,,,event_audit
single_cause,atomic_virtual,44,Qwen low,True,True,True,True,True,,,,event_audit
single_cause,atomic_virtual,56,Qwen low,True,True,True,True,True,,,,event_audit
single_cause,atomic_virtual,0,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_virtual,44,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,atomic_virtual,56,Random bundle,True,False,False,False,False,,,,event_audit
single_cause,staggered,0,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,staggered,44,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,staggered,56,Composite Rule,True,True,True,True,True,,,,event_audit
single_cause,staggered,0,DeepSeek low,True,False,False,False,False,,,,event_audit
single_cause,staggered,44,DeepSeek low,True,True,False,False,True,,,,event_audit
single_cause,staggered,56,DeepSeek low,True,False,False,False,False,,,,event_audit
single_cause,staggered,0,GLM low,True,True,False,False,False,,,,event_audit
single_cause,staggered,44,GLM low,True,True,False,False,True,,,,event_audit
single_cause,staggered,56,GLM low,True,True,True,True,False,,,,event_audit
single_cause,staggered,0,Qwen low,True,False,False,False,False,,,,event_audit
single_cause,staggered,44,Qwen low,True,True,True,True,False,,,,event_audit
single_cause,staggered,56,Qwen low,True,True,False,False,False,,,,event_audit
single_cause,staggered,0,Random bundle,True,True,False,True,True,,,,event_audit
single_cause,staggered,44,Random bundle,True,True,False,False,True,,,,event_audit
single_cause,staggered,56,Random bundle,True,True,False,False,True,,,,event_audit
two_cause,fault_dropout,0,Composite Rule,True,True,False,True,True,100.0,32,0,valid
two_cause,fault_dropout,44,Composite Rule,True,True,True,True,True,100.0,37,0,valid
two_cause,fault_dropout,56,Composite Rule,True,True,True,True,True,100.0,37,0,valid
two_cause,fault_dropout,0,DeepSeek low,True,True,False,False,True,95.5,4,1,valid
two_cause,fault_dropout,44,DeepSeek low,True,True,False,False,True,37.5,4,3,valid
two_cause,fault_dropout,56,DeepSeek low,True,True,False,True,True,39.4,1,5,valid
two_cause,fault_dropout,0,GLM low,True,True,False,False,True,100.0,21,0,valid
two_cause,fault_dropout,44,GLM low,True,True,False,False,False,14.3,1,1,valid
two_cause,fault_dropout,56,GLM low,True,False,False,False,False,,,,valid
two_cause,fault_dropout,0,Qwen low,True,True,False,False,True,100.0,27,0,valid
two_cause,fault_dropout,44,Qwen low,True,True,False,False,True,100.0,21,0,valid
two_cause,fault_dropout,56,Qwen low,True,True,False,True,True,100.0,31,0,valid
two_cause,fault_dropout,0,Qwen none,True,True,False,False,True,100.0,6,0,valid
two_cause,fault_dropout,44,Qwen none,True,False,False,False,False,,,,valid
two_cause,fault_dropout,56,Qwen none,True,False,False,False,False,,,,valid
two_cause,fault_dropout,0,Qwen xhigh,True,True,False,False,True,100.0,17,0,valid
two_cause,fault_dropout,44,Qwen xhigh,True,True,False,False,True,100.0,8,0,valid
two_cause,fault_dropout,56,Qwen xhigh,True,True,False,False,True,95.2,1,1,valid
two_cause,fault_dropout,0,Random bundle,True,False,False,False,False,,,,valid
two_cause,fault_dropout,44,Random bundle,False,False,False,False,False,,,,terminal_or_missing
two_cause,fault_dropout,56,Random bundle,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,0,Composite Rule,True,True,True,True,True,100.0,39,0,valid
two_cause,hetero_abrupt_dropout,44,Composite Rule,True,True,True,True,True,100.0,39,0,valid
two_cause,hetero_abrupt_dropout,56,Composite Rule,True,True,True,True,True,100.0,39,0,valid
two_cause,hetero_abrupt_dropout,0,DeepSeek low,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,44,DeepSeek low,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,56,DeepSeek low,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,0,GLM low,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,44,GLM low,True,True,True,True,False,10.8,2,3,valid
two_cause,hetero_abrupt_dropout,56,GLM low,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,0,Qwen low,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,44,Qwen low,True,True,False,False,False,10.5,1,2,valid
two_cause,hetero_abrupt_dropout,56,Qwen low,True,True,False,False,False,6.7,1,1,valid
two_cause,hetero_abrupt_dropout,0,Qwen none,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,44,Qwen none,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,56,Qwen none,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,0,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,44,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,56,Qwen xhigh,True,True,False,False,False,14.3,2,1,valid
two_cause,hetero_abrupt_dropout,0,Random bundle,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,44,Random bundle,True,False,False,False,False,,,,valid
two_cause,hetero_abrupt_dropout,56,Random bundle,True,False,False,False,False,,,,valid
two_cause,label_dropout,0,Composite Rule,True,True,True,True,True,100.0,38,0,valid
two_cause,label_dropout,44,Composite Rule,True,True,True,True,True,100.0,38,0,valid
two_cause,label_dropout,56,Composite Rule,True,True,True,True,True,100.0,38,0,valid
two_cause,label_dropout,0,DeepSeek low,True,True,True,True,False,23.7,3,3,valid
two_cause,label_dropout,44,DeepSeek low,True,True,True,True,False,5.0,2,1,valid
two_cause,label_dropout,56,DeepSeek low,True,True,True,True,False,7.5,2,2,valid
two_cause,label_dropout,0,GLM low,True,True,True,True,False,70.0,9,2,valid
two_cause,label_dropout,44,GLM low,True,True,True,True,False,70.0,5,4,valid
two_cause,label_dropout,56,GLM low,True,True,True,True,False,72.5,5,5,valid
two_cause,label_dropout,0,Qwen low,True,True,True,True,True,97.5,21,1,valid
two_cause,label_dropout,44,Qwen low,True,True,True,True,True,92.5,18,1,valid
two_cause,label_dropout,56,Qwen low,True,True,True,True,True,100.0,39,0,valid
two_cause,label_dropout,0,Qwen none,True,True,True,True,True,100.0,39,0,valid
two_cause,label_dropout,44,Qwen none,True,True,True,True,True,100.0,39,0,valid
two_cause,label_dropout,56,Qwen none,True,True,True,True,True,100.0,39,0,valid
two_cause,label_dropout,0,Qwen xhigh,True,True,True,True,True,100.0,39,0,valid
two_cause,label_dropout,44,Qwen xhigh,True,True,True,True,True,100.0,39,0,valid
two_cause,label_dropout,56,Qwen xhigh,True,True,True,True,True,100.0,39,0,valid
two_cause,label_dropout,0,Random bundle,True,False,False,False,False,,,,valid
two_cause,label_dropout,44,Random bundle,True,False,False,False,False,,,,valid
two_cause,label_dropout,56,Random bundle,True,False,False,False,False,,,,valid
two_cause,real_dropout,0,Composite Rule,True,True,True,True,True,100.0,38,0,valid
two_cause,real_dropout,44,Composite Rule,True,True,True,True,True,100.0,38,0,valid
two_cause,real_dropout,56,Composite Rule,True,True,True,True,True,100.0,38,0,valid
two_cause,real_dropout,0,DeepSeek low,True,True,True,True,False,5.0,2,1,valid
two_cause,real_dropout,44,DeepSeek low,True,True,True,True,False,7.5,3,1,valid
two_cause,real_dropout,56,DeepSeek low,True,True,True,True,False,2.5,1,1,valid
two_cause,real_dropout,0,GLM low,True,True,True,True,False,10.0,4,1,valid
two_cause,real_dropout,44,GLM low,True,False,False,False,False,,,,valid
two_cause,real_dropout,56,GLM low,True,True,True,True,False,7.5,3,1,valid
two_cause,real_dropout,0,Qwen low,True,True,True,True,False,7.7,3,1,valid
two_cause,real_dropout,44,Qwen low,True,False,False,False,False,,,,valid
two_cause,real_dropout,56,Qwen low,True,False,False,False,False,,,,valid
two_cause,real_dropout,0,Qwen none,True,True,True,True,True,100.0,39,0,valid
two_cause,real_dropout,44,Qwen none,True,True,True,True,False,97.5,39,1,valid
two_cause,real_dropout,56,Qwen none,True,True,True,True,False,67.5,27,1,valid
two_cause,real_dropout,0,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,real_dropout,44,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,real_dropout,56,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,real_dropout,0,Random bundle,True,False,False,False,False,,,,valid
two_cause,real_dropout,44,Random bundle,True,False,False,False,False,,,,valid
two_cause,real_dropout,56,Random bundle,True,False,False,False,False,,,,valid
two_cause,real_fault,0,Composite Rule,True,True,False,True,True,100.0,34,0,valid
two_cause,real_fault,44,Composite Rule,True,True,True,True,True,100.0,36,0,valid
two_cause,real_fault,56,Composite Rule,True,True,False,True,True,100.0,34,0,valid
two_cause,real_fault,0,DeepSeek low,True,True,True,True,False,20.0,8,1,valid
two_cause,real_fault,44,DeepSeek low,True,True,True,True,False,2.6,1,1,valid
two_cause,real_fault,56,DeepSeek low,True,True,True,True,False,42.5,2,6,valid
two_cause,real_fault,0,GLM low,True,True,True,True,False,19.4,7,1,valid
two_cause,real_fault,44,GLM low,True,True,False,False,False,4.8,1,1,valid
two_cause,real_fault,56,GLM low,True,True,False,True,False,54.5,13,3,valid
two_cause,real_fault,0,Qwen low,True,False,False,False,False,,,,valid
two_cause,real_fault,44,Qwen low,True,False,False,False,False,,,,valid
two_cause,real_fault,56,Qwen low,True,True,False,True,False,24.2,3,2,valid
two_cause,real_fault,0,Qwen none,True,False,False,False,False,,,,valid
two_cause,real_fault,44,Qwen none,True,False,False,False,False,,,,valid
two_cause,real_fault,56,Qwen none,True,False,False,False,False,,,,valid
two_cause,real_fault,0,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,real_fault,44,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,real_fault,56,Qwen xhigh,True,True,False,False,True,100.0,9,0,valid
two_cause,real_fault,0,Random bundle,True,False,False,False,False,,,,valid
two_cause,real_fault,44,Random bundle,True,False,False,False,False,,,,valid
two_cause,real_fault,56,Random bundle,True,False,False,False,False,,,,valid
two_cause,real_hetero,0,Composite Rule,True,True,True,True,True,100.0,38,0,valid
two_cause,real_hetero,44,Composite Rule,True,True,True,True,True,100.0,38,0,valid
two_cause,real_hetero,56,Composite Rule,True,True,True,True,True,100.0,38,0,valid
two_cause,real_hetero,0,DeepSeek low,True,False,False,False,False,,,,valid
two_cause,real_hetero,44,DeepSeek low,True,False,False,False,False,,,,valid
two_cause,real_hetero,56,DeepSeek low,True,False,False,False,False,,,,valid
two_cause,real_hetero,0,GLM low,True,False,False,False,False,,,,valid
two_cause,real_hetero,44,GLM low,True,False,False,False,False,,,,valid
two_cause,real_hetero,56,GLM low,True,False,False,False,False,,,,valid
two_cause,real_hetero,0,Qwen low,True,False,False,False,False,,,,valid
two_cause,real_hetero,44,Qwen low,True,False,False,False,False,,,,valid
two_cause,real_hetero,56,Qwen low,True,False,False,False,False,,,,valid
two_cause,real_hetero,0,Qwen none,True,False,False,False,False,,,,valid
two_cause,real_hetero,44,Qwen none,True,False,False,False,False,,,,valid
two_cause,real_hetero,56,Qwen none,True,False,False,False,False,,,,valid
two_cause,real_hetero,0,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,real_hetero,44,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,real_hetero,56,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,real_hetero,0,Random bundle,True,False,False,False,False,,,,valid
two_cause,real_hetero,44,Random bundle,True,False,False,False,False,,,,valid
two_cause,real_hetero,56,Random bundle,True,False,False,False,False,,,,valid
two_cause,virtual_dropout,0,Composite Rule,True,True,True,True,True,100.0,39,0,valid
two_cause,virtual_dropout,44,Composite Rule,True,True,True,True,True,100.0,39,0,valid
two_cause,virtual_dropout,56,Composite Rule,True,True,True,True,True,100.0,39,0,valid
two_cause,virtual_dropout,0,DeepSeek low,True,True,True,True,False,20.0,1,8,valid
two_cause,virtual_dropout,44,DeepSeek low,True,True,True,True,False,2.5,1,1,valid
two_cause,virtual_dropout,56,DeepSeek low,True,True,False,False,False,25.0,1,1,valid
two_cause,virtual_dropout,0,GLM low,True,True,True,True,False,50.0,1,20,valid
two_cause,virtual_dropout,44,GLM low,True,True,True,True,False,45.0,1,18,valid
two_cause,virtual_dropout,56,GLM low,True,True,True,True,False,50.0,1,19,valid
two_cause,virtual_dropout,0,Qwen low,True,True,True,True,False,40.0,1,16,valid
two_cause,virtual_dropout,44,Qwen low,False,False,False,False,False,,,,terminal_or_missing
two_cause,virtual_dropout,56,Qwen low,True,True,True,True,False,45.0,1,17,valid
two_cause,virtual_dropout,0,Qwen none,True,False,False,False,False,,,,valid
two_cause,virtual_dropout,44,Qwen none,True,False,False,False,False,,,,valid
two_cause,virtual_dropout,56,Qwen none,True,False,False,False,False,,,,valid
two_cause,virtual_dropout,0,Qwen xhigh,True,True,True,True,False,35.0,1,14,valid
two_cause,virtual_dropout,44,Qwen xhigh,False,False,False,False,False,,,,terminal
two_cause,virtual_dropout,56,Qwen xhigh,True,True,True,True,True,47.5,1,18,valid
two_cause,virtual_dropout,0,Random bundle,True,False,False,False,False,,,,valid
two_cause,virtual_dropout,44,Random bundle,False,False,False,False,False,,,,terminal_or_missing
two_cause,virtual_dropout,56,Random bundle,True,False,False,False,False,,,,valid
two_cause,virtual_fault,0,Composite Rule,True,True,True,True,True,100.0,37,0,valid
two_cause,virtual_fault,44,Composite Rule,True,True,True,True,True,100.0,38,0,valid
two_cause,virtual_fault,56,Composite Rule,True,True,True,True,True,100.0,38,0,valid
two_cause,virtual_fault,0,DeepSeek low,True,True,True,True,True,34.2,1,11,valid
two_cause,virtual_fault,44,DeepSeek low,True,True,True,True,False,31.6,1,11,valid
two_cause,virtual_fault,56,DeepSeek low,True,True,True,True,False,32.4,1,10,valid
two_cause,virtual_fault,0,GLM low,True,True,False,True,False,45.7,1,16,valid
two_cause,virtual_fault,44,GLM low,True,True,True,True,True,39.5,2,13,valid
two_cause,virtual_fault,56,GLM low,False,False,False,False,False,,,,terminal_or_missing
two_cause,virtual_fault,0,Qwen low,True,True,False,False,False,33.3,1,2,valid
two_cause,virtual_fault,44,Qwen low,True,True,False,True,True,48.6,1,16,valid
two_cause,virtual_fault,56,Qwen low,False,False,False,False,False,,,,terminal_or_missing
two_cause,virtual_fault,0,Qwen none,True,False,False,False,False,,,,valid
two_cause,virtual_fault,44,Qwen none,True,False,False,False,False,,,,valid
two_cause,virtual_fault,56,Qwen none,False,False,False,False,False,,,,terminal_or_missing
two_cause,virtual_fault,0,Qwen xhigh,True,True,False,False,True,54.5,1,5,valid
two_cause,virtual_fault,44,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,virtual_fault,56,Qwen xhigh,False,False,False,False,False,,,,terminal
two_cause,virtual_fault,0,Random bundle,True,False,False,False,False,,,,valid
two_cause,virtual_fault,44,Random bundle,False,False,False,False,False,,,,terminal_or_missing
two_cause,virtual_fault,56,Random bundle,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,0,Composite Rule,True,True,True,True,True,100.0,39,0,valid
two_cause,virtual_hetero,44,Composite Rule,True,True,True,True,True,100.0,39,0,valid
two_cause,virtual_hetero,56,Composite Rule,True,True,True,True,True,100.0,39,0,valid
two_cause,virtual_hetero,0,DeepSeek low,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,44,DeepSeek low,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,56,DeepSeek low,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,0,GLM low,False,False,False,False,False,,,,terminal_or_missing
two_cause,virtual_hetero,44,GLM low,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,56,GLM low,True,True,True,True,False,5.0,1,2,valid
two_cause,virtual_hetero,0,Qwen low,True,True,False,False,False,3.7,1,1,valid
two_cause,virtual_hetero,44,Qwen low,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,56,Qwen low,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,0,Qwen none,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,44,Qwen none,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,56,Qwen none,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,0,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,44,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,56,Qwen xhigh,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,0,Random bundle,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,44,Random bundle,True,False,False,False,False,,,,valid
two_cause,virtual_hetero,56,Random bundle,True,False,False,False,False,,,,valid
